ID,Mission,Type,Subtype,Weight (g),Weight (kg),Pristine (%),,Mission,Sample weight (kg),Weight diff,Lunar module (LM),LM mass (kg),LM mass diff,Command Module (CM),CM mass (kg),CM mass diff
14140,Apollo14,Soil,4-10mm,7.43,0.00743,91.36,,,,,,,,,,
14141,Apollo14,Soil,<1mm,28.5,0.0285,46.94,,,,,,,,,,
14142,Apollo14,Soil,1-2mm,5.35,0.00535,62.24,,,,,,,,,,
14143,Apollo14,Soil,2-4mm,6.73,0.00673,51.04,,,,,,,,,,
14144,Apollo14,Soil,Unsieved,4.77,0.00477,11.3,,,,,,,,,,
14145,Apollo14,Soil,4-10mm,0.92,0.00092,80.44,,,,,,,,,,
14146,Apollo14,Soil,1-2mm,2.82,0.00282,75.18,,,,,,,,,,
14147,Apollo14,Soil,2-4mm,1.67,0.00167,79.04,,,,,,,,,,
14148,Apollo14,Soil,<1mm,71.65,0.07165,70.56,,,,,,,,,,
14149,Apollo14,Soil,<1mm,88.15,0.08815,79.57,,,,,,,,,,
14150,Apollo14,Soil,4-10mm,11.08,0.01108,85.33,,,,,,,,,,
14151,Apollo14,Soil,1-2mm,11.7,0.0117,58.28,,,,,,,,,,
14152,Apollo14,Soil,2-4mm,11.39,0.01139,49.68,,,,,,,,,,
14153,Apollo14,Soil,2-4mm,3.91,0.00391,77.85,,,,,,,,,,
14154,Apollo14,Soil,1-2mm,5.49,0.00549,83.92,,,,,,,,,,
14155,Apollo14,Soil,4-10mm,3.69,0.00369,90.16,,,,,,,,,,
14156,Apollo14,Soil,<1mm,138,0.138,84.69,,,,,,,,,,
14160,Apollo14,Soil,4-10mm,196.5,0.1965,91.89,,,,,,,,,,
14161,Apollo14,Soil,2-4mm,197.1,0.1971,67.57,,,,,,,,,,
14162,Apollo14,Soil,1-2mm,288.7,0.2887,81.13,,,,,,,,,,
14163,Apollo14,Soil,<1mm,4444,4.444,94.51,,,,,,,,,,
14165,Apollo14,Soil,<1mm,109.1,0.1091,97.62,,,,,,,,,,
14166,Apollo14,Soil,1-2mm,20.5,0.0205,66.68,,,,,,,,,,
14167,Apollo14,Soil,2-4mm,26.5,0.0265,55.06,,,,,,,,,,
14168,Apollo14,Soil,4-10mm,43.9,0.0439,75.7,,,,,,,,,,
14169,Apollo14,Breccia,Fragmental,78.66,0.07866,96.9,,,,,,,,,,
14170,Apollo14,Breccia,Fragmental,26.34,0.02634,94.84,,,,,,,,,,
14171,Apollo14,Breccia,Fragmental,37.79,0.03779,72.69,,,,,,,,,,
14172,Apollo14,Breccia,Fragmental,32.1,0.0321,94.24,,,,,,,,,,
14173,Apollo14,Breccia,Fragmental,19.59,0.01959,99.29,,,,,,,,,,
14174,Apollo14,Breccia,Fragmental,11.62,0.01162,93.98,,,,,,,,,,
14175,Apollo14,Breccia,Fragmental,7.48,0.00748,92.91,,,,,,,,,,
14176,Apollo14,Breccia,Fragmental,4.12,0.00412,98.3,,,,,,,,,,
14177,Apollo14,Breccia,Fragmental,2.32,0.00232,99.14,,,,,,,,,,
14178,Apollo14,Breccia,Fragmental,2.88,0.00288,90.28,,,,,,,,,,
14179,Apollo14,Breccia,Fragmental,3.03,0.00303,86.77,,,,,,,,,,
14180,Apollo14,Breccia,Fragmental,4.75,0.00475,96.84,,,,,,,,,,
14181,Apollo14,Breccia,Fragmental,2.48,0.00248,88.19,,,,,,,,,,
14182,Apollo14,Breccia,Fragmental,2.29,0.00229,96.94,,,,,,,,,,
14183,Apollo14,Breccia,Fragmental,1.4,0.0014,99.29,,,,,,,,,,
14184,Apollo14,Breccia,Fragmental,1.48,0.00148,98.65,,,,,,,,,,
14185,Apollo14,Breccia,Fragmental,1.52,0.00152,94.74,,,,,,,,,,
14186,Apollo14,Breccia,Fragmental,1.26,0.00126,99.21,,,,,,,,,,
14187,Apollo14,Breccia,Fragmental,1.09,0.00109,99.08,,,,,,,,,,
